No.,Gender,Artist,Item,Streams,Daily Increases,Color,Streams (in millions),,ItemF,Daily IncreasesF,Streams (in millions)F,,,ItemM,Daily IncreasesM,Streams (in millions)M,,,ItemA,Daily IncreasesA,Streams (in millions)A,,,,
38,Male,MONSTAX,MONSTAX - HERO Rooftop Ver. (Male),132264672,8373,blue,132.264672,,Male Average,130429,301.2914,,,MONSTAX - HERO Rooftop Ver. (Male),8373,132.264672,,,Male Average,130429,301.2914,,,,
39,Female,IRENE & SEULGI,IRENE & SEULGI - Monster MV (Female),131870148,21438,red,131.870148,,IRENE & SEULGI - Monster MV (Female),21438,131.870148,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
40,Male,NU'EST,NU'EST - FACE MV (Male),130499985,21155,blue,130.499985,,Male Average,130429,301.2914,,,NU'EST - FACE MV (Male),21155,130.499985,,,Male Average,130429,301.2914,,,,
41,Male,NCT 2020,NCT 2020 - RESONANCE MV (Male),124167721,23124,blue,124.167721,,Male Average,130429,301.2914,,,NCT 2020 - RESONANCE MV (Male),23124,124.167721,,,Male Average,130429,301.2914,,,,
42,Female,Wonder Girls,Wonder Girls - NOBODY (Eng. Ver) M/V (Female),123562948,27953,red,123.562948,,Wonder Girls - NOBODY (Eng. Ver) M/V (Female),27953,123.562948,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
43,Co-ed,Trouble Maker,Trouble Maker - Trouble Maker M/V (Mixed),122544462,23521,green,122.544462,,Co-ed Average,23521,122.544462,,,Co-ed Average,23521,122.544462,,,Co-ed Average,23521,122.544462,,,,
44,Male,SuperM ,SuperM - Jopping MV (Male),122125606,14841,blue,122.125606,,Male Average,130429,301.2914,,,SuperM - Jopping MV (Male),14841,122.125606,,,Male Average,130429,301.2914,,,,
45,Male,BEAST ,BEAST - FICTION (Official Music Video) (Male),121443326,29077,blue,121.443326,,Male Average,130429,301.2914,,,BEAST - FICTION (Official Music Video) (Male),29077,121.443326,,,Male Average,130429,301.2914,,,,
47,Male,X1,X1 - FLASH MV (Male),120402470,36998,blue,120.40247,,Male Average,130429,301.2914,,,X1 - FLASH MV (Male),36998,120.40247,,,Male Average,130429,301.2914,,,,
48,Female,BOL4,BOL4 - Some MV (Female),119274272,39306,red,119.274272,,BOL4 - Some MV (Female),39306,119.274272,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
49,Female,KARA ,KARA - STEP M/V (Female),119223814,20870,red,119.223814,,KARA - STEP M/V (Female),20870,119.223814,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
50,Female,EXID,EXID - (UP&DOWN) MV (Female),118898194,11224,red,118.898194,,EXID - (UP&DOWN) MV (Female),11224,118.898194,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
51,Female,SISTAR19,SISTAR19 - Ma Boy Music Video (Female),115630854,23989,red,115.630854,,SISTAR19 - Ma Boy Music Video (Female),23989,115.630854,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
