No.,Gender,Artist,Video2,Streams,Daily Increases,Color,Streams (in millions),Streams (in millions),ArtistVideoGender,,,,,,
20,Male,EXO-K,EXO-K - Overdose MV (Male),248193904,20936,blue,248.193904,248.193904,EXO-K - Overdose MV (Male),,,,,,??(Overdose)' MV
21,Male,SEVENTEEN,SEVENTEEN - Don't Wanna Cry MV (Male),246841616,64488,blue,246.841616,246.841616,SEVENTEEN - Don't Wanna Cry MV (Male),,,,,,?? ?? ?? (Don't Wanna Cry)
22,Male,PENTAGON,PENTAGON - Shine MV (Male),244935791,24719,blue,244.935791,244.935791,PENTAGON - Shine MV (Male),,,,,,Shine(???)
23,Male,SUPER JUNIOR,SUPER JUNIOR -Mr. Simple MV (Male),21965517,628994,blue,21.965517,21.965517,SUPER JUNIOR -Mr. Simple MV (Male),,,,,,Mr. Simple' MV
24,Female,(G)I-DLE,(G)I-DLE -  TOMBOY Official Music Video (Female),216682054,269599,red,216.682054,216.682054,(G)I-DLE -  TOMBOY Official Music Video (Female),,,,,, 'TOMBOY' Official Music Video
25,Female,IVE ,IVE - LOVE DIVE MV (Female),200493316,217184,red,200.493316,200.493316,IVE - LOVE DIVE MV (Female),,,,,,LOVE DIVE' MV
26,Male,WINNER ,WINNER - REALLY REALLY M/V (Male),19207622,231278,blue,19.207622,19.207622,WINNER - REALLY REALLY M/V (Male),,,,,,REALLY REALLY M/V
27,Female,4MINUTE ,4MINUTE - Crazy MV (Female),186571626,45355,red,186.571626,186.571626,4MINUTE - Crazy MV (Female),,,,,,??(Crazy)
28,Female,IZ*ONE,IZ*ONE - La Vie en Rose MV (Female),18033715,323239,red,18.033715,18.033715,IZ*ONE - La Vie en Rose MV (Female),,,,,,????? (La Vie en Rose) MV
29,Male,TXT ,TXT - CROWN MV (Male),176181970,52594,blue,176.18197,176.18197,TXT - CROWN MV (Male),,,,,, '5? 53?? ???? ??? ?? ?' Official MV
30,Male,NCT DREAM,NCT DREAM - Hot Sauce MV (Male),172894827,41282,blue,172.894827,172.894827,NCT DREAM - Hot Sauce MV (Male),,,,,,(Hot Sauce)' MV
31,Male,NCT 127,NCT 127 - Kick It MV (Male),171661449,43852,blue,171.661449,171.661449,NCT 127 - Kick It MV (Male),,,,,,?? (??; Kick It)' MV
32,Male,Wanna One,Wanna One - Energetic MV (Male),161051986,16638,blue,161.051986,161.051986,Wanna One - Energetic MV (Male),,,,,,???? (Energetic) MV
33,Male,SHINee ,SHINee - Ring Ding Dong MV (Male),161021793,33233,blue,161.021793,161.021793,SHINee - Ring Ding Dong MV (Male),,,,,,Ring Ding Dong' MV
34,Female,LE SSERAFIM,LE SSERAFIM - FEARLESS OFFICIAL M/V (Female),148122754,136715,red,148.122754,148.122754,LE SSERAFIM - FEARLESS OFFICIAL M/V (Female),,,,,,FEARLESS OFFICIAL M/V
35,Female,Weeekly,Weeekly - After School MV (Female),14784446,357884,red,14.784446,14.784446,Weeekly - After School MV (Female),,,,,,After School
36,Female,f(x),f(x) - Electric Shock MV (Female),140276936,8042,red,140.276936,140.276936,f(x) - Electric Shock MV (Female),,,,,,Electric Shock' MV
